Datetime,Close,Volume
20200504-1125,280.96,1181146
20200504-1130,281.23,424802
20200504-1135,281.66,1161929
20200504-1140,281.63,969422
20200504-1145,281.77,647344
20200504-1150,281.78,435600
20200504-1155,281.42,856246
20200504-1200,281.7,387494
20200504-1205,281.68,540713
20200504-1210,281.39,469840
20200504-1215,281.43,288606
20200504-1220,281.73,631816
20200504-1225,281.87,425040
20200504-1230,281.58,623513
20200504-1235,281.17,687780
20200504-1240,281.32,369109
20200504-1245,281.17,493195
20200504-1250,281.0,427036
20200504-1255,281.09,382365
20200504-1300,281.19,371709
20200504-1305,281.23,709192
20200504-1310,280.77,993302
20200504-1315,280.5,1696490
20200504-1320,280.64,403054
20200504-1325,280.8,615582
20200504-1330,281.02,390793
20200504-1335,280.97,456293
20200504-1340,280.94,379156
20200504-1345,281.26,614380
20200504-1350,281.27,384450
20200504-1355,281.46,552902
20200504-1400,281.4,782967
20200504-1405,281.24,460619
20200504-1410,281.69,955294
20200504-1415,281.72,388897
20200504-1420,281.68,232364
20200504-1425,281.53,656119
20200504-1430,281.44,764204
20200504-1435,281.17,993768
20200504-1440,281.26,639989
20200504-1445,281.92,737836
20200504-1450,282.11,926152
20200504-1455,282.48,975701
20200504-1500,282.49,782790
20200504-1505,282.6,615447
20200504-1510,282.8,1264571
20200504-1515,283.12,886332
20200504-1520,283.14,1354406
20200504-1525,283.27,1006983
20200504-1530,283.75,1613726
20200504-1535,283.52,1108211
20200504-1540,283.71,976863
20200504-1545,283.7,1071673
20200504-1550,283.25,1993597
20200504-1555,283.67,2729261

Done
