Datetime,Close,Volume
20200420-1445,283.55,1052788
20200420-1450,282.59,1060031
20200420-1455,281.72,1965972
20200420-1500,282.07,1552817
20200420-1505,281.91,1919496
20200420-1510,282.08,1078042
20200420-1515,281.62,1004640
20200420-1520,282.2,1354380
20200420-1525,282.44,1203231
20200420-1530,282.94,1476263
20200420-1535,282.22,1201688
20200420-1540,282.36,1211461
20200420-1545,282.63,1614908
20200420-1550,282.13,3478400
20200420-1555,281.59,3739986
20200421-0930,276.65,9429268
20200421-0935,275.46,2294872
20200421-0940,275.86,1682286
20200421-0945,276.88,2020272
20200421-0950,277.08,1723310
20200421-0955,277.65,2059067
20200421-1000,277.64,1639893
20200421-1005,276.89,1349412
20200421-1010,276.53,1099826
20200421-1015,276.18,1080732
20200421-1020,276.91,1349714
20200421-1025,276.88,1124109
20200421-1030,276.26,1049438
20200421-1035,275.85,1139369
20200421-1040,275.85,967511
20200421-1045,274.89,1429748
20200421-1050,274.69,1864108
20200421-1055,274.17,1992524
20200421-1100,273.75,1840458
20200421-1105,273.96,1491523
20200421-1110,272.98,1826131
20200421-1115,273.3,2046808
20200421-1120,273.4,1546141
20200421-1125,272.88,1413803
20200421-1130,273.16,1814650
20200421-1135,272.66,1567603
20200421-1140,272.24,1384685
20200421-1145,272.95,2284542
20200421-1150,273.21,1576967
20200421-1155,273.61,1553752
20200421-1200,273.09,1482498
20200421-1205,273.39,924101
20200421-1210,273.52,1581563
20200421-1215,273.35,1364670
20200421-1220,272.87,1069152
20200421-1225,272.96,631310
20200421-1230,272.41,1066273
20200421-1235,272.39,986972
20200421-1240,272.18,805426
20200421-1245,272.68,1008092
20200421-1250,273.32,1673469
20200421-1255,273.41,798634
20200421-1300,273.78,1146065
20200421-1305,273.66,811961
20200421-1310,273.47,890823
20200421-1315,273.78,867543
20200421-1320,274.25,1804600
20200421-1325,274.47,838410
20200421-1330,274.41,639740
20200421-1335,274.94,1425199
20200421-1340,274.82,1567088
20200421-1345,273.85,1610179
20200421-1350,274.29,819241
20200421-1355,274.02,1145001
20200421-1400,274.22,1006314
20200421-1405,274.56,1049174
20200421-1410,274.73,659502
20200421-1415,274.34,1061593
20200421-1420,275.38,1444288
20200421-1425,274.93,927835
20200421-1430,274.5,658962
20200421-1435,274.08,1132754
20200421-1440,273.54,1201760
20200421-1445,273.44,985403
20200421-1450,273.83,884059
20200421-1455,273.49,662033
20200421-1500,274.07,1045107
20200421-1505,272.92,1446207
20200421-1510,273.92,1094116
20200421-1515,274.47,1218893
20200421-1520,274.3,1068247
20200421-1525,274.29,1141753
20200421-1530,274.35,1889907
20200421-1535,274.9,2498743
20200421-1540,274.39,1510256
20200421-1545,273.49,2286435
20200421-1550,272.74,4416529
20200421-1555,273.65,4521034
20200422-0930,278.01,8044895
20200422-0935,278.36,1341571
20200422-0940,278.08,1121056
20200422-0945,277.2,1764369
20200422-0950,277.27,1063796
20200422-0955,277.81,926406
20200422-1000,277.27,1253318
20200422-1005,277.43,652292
20200422-1010,277.0,1100106
20200422-1015,277.46,818482
20200422-1020,277.95,874828
20200422-1025,277.7,803152
20200422-1030,277.88,998356
20200422-1035,278.35,876326
20200422-1040,278.32,969849
20200422-1045,278.15,724563
20200422-1050,277.68,1012501
20200422-1055,277.59,745641
20200422-1100,277.8,847549
20200422-1105,277.77,493873
20200422-1110,278.03,515502
20200422-1115,278.34,1021639
20200422-1120,278.42,550274
20200422-1125,278.25,667853
20200422-1130,278.56,820413
20200422-1135,278.42,494536
20200422-1140,278.78,1356777
20200422-1145,278.77,847157
20200422-1150,278.99,573008
20200422-1155,278.68,752730
20200422-1200,278.9,1068999
20200422-1205,278.42,561183
20200422-1210,278.53,648308
20200422-1215,278.73,422085
20200422-1220,278.85,501845
20200422-1225,278.86,417370
20200422-1230,278.79,396022
20200422-1235,279.0,518191
20200422-1240,279.0,698716
20200422-1245,278.85,439584
20200422-1250,278.47,756363
20200422-1255,278.59,463567
20200422-1300,278.43,856162
20200422-1305,278.4,737219
20200422-1310,278.59,409780
20200422-1315,278.73,313654
20200422-1320,278.88,399561
20200422-1325,279.22,678895
20200422-1330,278.98,1734902
20200422-1335,278.87,396824
